№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
Столбец 1;Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;Столбец 14;Столбец 15;Столбец 16;Столбец 17;Столбец 18;Столбец 19;Столбец 20;Столбец 21;Столбец 22;Столбец 23;Столбец 24;Столбец 25;Столбец 26;Столбец 27;;;;;;;
162;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-45;RORstGrsmnk7MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,08;DWDM;;;10;2,08;20,8;;;;;;;;;;;;;;
163;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-45;RORstGrsmnk7MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,05;DWDM;;;10;2,05;20,5;;;;;;;;;;;;;;
164;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-51;RoRstMrlc60mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,89;DWDM;;;10;2,89;28,9;;;;;;;;;;;;;;
165;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-51;RoRstMrlc60mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;6,19;DWDM;;;10;6,19;61,9;;;;;;;;;;;;;;
166;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-51;RoRstMrlc60mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,660;DWDM;;;10;0,660;6,6;;;;;;;;;;;;;;
167;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-51;RoRstMrlc60mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,660;DWDM;;;10;0,660;6,6;;;;;;;;;;;;;;
168;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-52;RoRstMngn4mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,33;DWDM;;;10;2,33;23,3;;;;;;;;;;;;;;
169;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-52;RoRstMngn4mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,29;DWDM;;;10;2,29;22,9;;;;;;;;;;;;;;
170;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-57;RoRst40ltPb77Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,07;DWDM;;;10;2,07;20,7;;;;;;;;;;;;;;
171;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-57;RoRst40ltPb77Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,96;DWDM;;;10;1,96;19,6;;;;;;;;;;;;;;
172;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-62;RoRstSrfm62mx480;AR;MX480;Обл.центр;Ростов-на-Дону АТС-40;RoRstDmsk3Mx480;AR;MX480;10;3,29;DWDM;;;10;3,29;32,9;;;;;;;;;;;;;;
173;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-63;RoRstScls191mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,46;DWDM;;;10;1,46;14,6;;;;;;;;;;;;;;
174;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-63;RoRstScls191mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,55;DWDM;;;10;1,55;15,5;;;;;;;;;;;;;;
175;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-64;RORstGrkg206MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,04;DWDM;;;10;2,04;20,4;;;;;;;;;;;;;;
176;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-64;RORstGrkg206MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,1;DWDM;;;10;2,1;21;;;;;;;;;;;;;;
177;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-67;RoRstDlmn70Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,21;DWDM;;;10;1,21;12,1;;;;;;;;;;;;;;
178;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-67;RoRstDlmn70Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,28;DWDM;;;10;1,28;12,8;;;;;;;;;;;;;;
179;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-74;RoRstVlkv9mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,84;DWDM;;;10;3,84;38,4;;;;;;;;;;;;;;
180;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-74;RoRstVlkv9mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,77;DWDM;;;10;3,77;37,7;;;;;;;;;;;;;;
181;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-76;RoRstBeliaev24MX80;AR;MX80;Обл.центр;Ростов-на-Дону АТС-74;RoRstVlkv9mx480;AR;MX480;10;2,8;DWDM;;;10;2,8;28;;;;;;;;;;;;;;
182;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-77;RoRstTmsh18mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;10;0,949;DWDM;;;10;0,949;9,49;;;;;;;;;;;;;;
183;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-77;RoRstTmsh18mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,03;DWDM;;;10;1,03;10,3;;;;;;;;;;;;;;
184;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-401;RoRstScls112mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;10;1,02;DWDM;;;10;1,02;10,2;;;;;;;;;;;;;;
185;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-401;RoRstScls112mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;10;0,596;DWDM;;;10;0,596;5,96;;;;;;;;;;;;;;
186;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-433;RORstStachki218MX80;AR;MX80;Обл.центр;Ростов-на-Дону АТС-22;RORstKmst10MX480;AR;MX480;10;1,73;DWDM;;;10;1,73;17,3;;;;;;;;;;;;;;
187;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-442;RoRstBratsk47mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;DR;MX960;10;1,8;DWDM;;;10;1,8;18;;;;;;;;;;;;;;
188;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-442;RoRstBratsk47mx80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;DR;MX960;10;1,79;DWDM;;;10;1,79;17,9;;;;;;;;;;;;;;
189;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-448;RORstStchk33MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;DR;MX960;10;2,66;DWDM;;;10;2,66;26,6;;;;;;;;;;;;;;
190;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-448;RORstStchk33MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;DR;MX960;10;2,84;DWDM;;;10;2,84;28,4;;;;;;;;;;;;;;
191;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-619;RoRstBdn50mx80;AR;MX80;Обл.центр;Ростов-на-Дону АТС-40;RoRstDmsk3Mx480;AR;MX480;10;1,86;DWDM;;;10;1,86;18,6;;;;;;;;;;;;;;
192;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-724;RORstKzhsk69MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;DR;MX960;10;1,18;DWDM;;;10;1,18;11,8;;;;;;;;;;;;;;
193;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-724;RORstKzhsk69MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;DR;MX960;10;1,09;DWDM;;;10;1,09;10,9;;;;;;;;;;;;;;
194;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49c7609b;AR;C7609;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;DR;MX960;10;0,54;DWDM;;;10;0,54;5,4;;;;;;;;;;;;;;
195;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;100;50,72;DWDM;;;100;50,72;50,72;;;;;;;;;;;;;;
196;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;100;49,18;DWDM;;;100;49,18;49,18;;;;;;;;;;;;;;
197;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;100;54,68;DWDM;;;100;54,68;54,68;;;;;;;;;;;;;;
198;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;100;53,34;DWDM;;;100;53,34;53,34;;;;;;;;;;;;;;
199;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS1;BRAS;ME-60;20;14,26;DWDM;;;20;14,26;71,3;;;;;;;;;;;;;;
200;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS1;BRAS;ME-60;20;7,92;DWDM;;;20;7,92;39,6;;;;;;;;;;;;;;
201;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS2;BRAS;ME-60;20;13,73;DWDM;;;20;13,73;68,65;;;;;;;;;;;;;;
202;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS2;BRAS;ME-60;20;7,84;DWDM;;;20;7,84;39,2;;;;;;;;;;;;;;
203;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS3;BRAS;ME-60;20;13,65;DWDM;;;20;13,65;68,25;;;;;;;;;;;;;;
204;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS3;BRAS;ME-60;20;8,43;DWDM;;;20;8,43;42,15;;;;;;;;;;;;;;
205;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS4;BRAS;ME-60;20;13,4;DWDM;;;20;13,4;67;;;;;;;;;;;;;;
206;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS4;BRAS;ME-60;20;7,93;DWDM;;;20;7,93;39,65;;;;;;;;;;;;;;
207;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS5;BRAS;ME-60;20;13,25;DWDM;;;20;13,25;66,25;;;;;;;;;;;;;;
208;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS5;BRAS;ME-60;20;8,33;DWDM;;;20;8,33;41,65;;;;;;;;;;;;;;
209;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS1;BRAS;ME-60;20;7,64;DWDM;;;20;7,64;38,2;;;;;;;;;;;;;;
210;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS1;BRAS;ME-60;20;13,5;DWDM;;;20;13,5;67,5;;;;;;;;;;;;;;
211;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS2;BRAS;ME-60;20;8,22;DWDM;;;20;8,22;41,1;;;;;;;;;;;;;;
212;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS2;BRAS;ME-60;20;13,94;DWDM;;;20;13,94;69,7;;;;;;;;;;;;;;
213;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS3;BRAS;ME-60;20;7,73;DWDM;;;20;7,73;38,65;;;;;;;;;;;;;;
214;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS3;BRAS;ME-60;20;13,48;DWDM;;;20;13,48;67,4;;;;;;;;;;;;;;
215;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS4;BRAS;ME-60;20;8,16;DWDM;;;20;8,16;40,8;;;;;;;;;;;;;;
216;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS4;BRAS;ME-60;20;13,46;DWDM;;;20;13,46;67,3;;;;;;;;;;;;;;
217;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS5;BRAS;ME-60;20;8,05;DWDM;;;20;8,05;40,25;;;;;;;;;;;;;;
218;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;Обл.центр;Ростов-на-Дону (Газетный 49);RNDN-BRAS5;BRAS;ME-60;20;13,36;DWDM;;;20;13,36;66,8;;;;;;;;;;;;;;
219;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480f;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;10;0,395;DWDM;;;10;0,395;3,95;;;;;;;;;;;;;;
220;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480f;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,478;DWDM;;;10;0,478;4,78;;;;;;;;;;;;;;
221;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480f;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960a;DR;MX960;10;0,461;DWDM;;;10;0,461;4,61;;;;;;;;;;;;;;
222;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480f;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960b;DR;MX960;10;0,407;DWDM;;;10;0,407;4,07;;;;;;;;;;;;;;
223;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480c;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;10;0,2;DWDM;;;10;0,2;2;;;;;;;;;;;;;;
224;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480c;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,2;DWDM;;;10;0,2;2;;;;;;;;;;;;;;
225;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480c;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960c;CR;MX960;10;0,356;DWDM;;;10;0,356;3,56;;;;;;;;;;;;;;
226;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480c;BPE;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960d;CR;MX960;10;0,405;DWDM;;;10;0,405;4,05;;;;;;;;;;;;;;
227;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49c7609p;BPE;C7609;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;10;0,3;DWDM;;;10;0,3;3;;;;;;;;;;;;;;
228;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49c7609p;BPE;C7609;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,31;DWDM;;;10;0,31;3,1;;;;;;;;;;;;;;
229;Ростовский филиал;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49c7609p;BPE;C7609;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx480c;BPE;MX480;1;0,1;DWDM;;;1;0,1;10;;;;;;;;;;;;;;
