Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Отель Дон Плаза (В направлении памятника Елизавете Петровне);ул. Б.Садовая 115/50 (опора на территории парковки);1;стационарная;47.225745;39.733820;10;;;;;;;;;;;;
Отель Меркур (В направлении запасного входа в отель);ул. Серафимовича, 98 (на углу учебного заведения);1;стационарная;47.220671;39.719089;10;;;;;;;;;;;;
Отель Меркур (В направлении главного входа в отель);пр. Ворошиловский, 14 (угол здания Правительства РО);1;стационарная;47.220649;39.719674;10;;;;;;;;;;;;
Вертол Отель (В направлении входа в отель);пр. М.Нагибина, 30 (правая опора, со стороны проспекта);1;стационарная;47.256051;39.716115;10;;;;;;;;;;;;
Вертол Отель (В направлении входа в отель);пр. М.Нагибина, 30 (левая опора, со стороны проспекта);1;стационарная;47.256511;39.716354;10;;;;;;;;;;;;
Парк-отель Надежда (В направлении запасного выезда из отеля);Поворот с ул. Фурмановская на пер. Бориславский, 34 (опора);1;стационарная;47.265424;39.705809;10;;;;;;;;;;;;
Парк-отель Надежда (В направлении внутренней территории отеля);ул. 2-ой Пятилетки, 23аа (опора на территории отеля, напротив СПА центра);1;стационарная;47.262776;39.700029;10;;;;;;;;;;;;
Парк-отель Надежда (В направлении въезда в отель с ул. Погодина);ул. Погодина, 72 (опора рядом с охранным комплексом на въезде в отель);1;стационарная;47.263089;39.705302;10;;;;;;;;;;;;
Отель Аврора (В направлении основного въезда в отель);ул. Мартовицкого, 48 (козырек магазина Твой Мото);1;стационарная;47.273806;39.720656;10;;;;;;;;;;;;
Отель Аврора (В направлении запасного въезда в отель);ул. Евдокимова, 132 (заборная конструкция объекта Правительственная дача);1;стационарная;47.274969;39.722533;10;;;;;;;;;;;;
Отель Европа (В направлении входа в отель);пр. Ворошиловский, 43 (угол здания Главного управления МВД);1;стационарная;47.221790;39.718651;10;;;;;;;;;;;;
Отель Шери Холл (В направлении главного входа отеля);ул. 9-ая Линия, 16 (опора на противоположной стороне от отеля);1;стационарная;47.227976;39.756059;10;;;;;;;;;;;;
Отель Вилла де Вилль (В направлении въезда в парковку);Площадь Советской Конституции (на опоре находящейся на самой площади, напротив пр. М.Нагибина 53/2);1;стационарная;47.265757;39.720533;10;;;;;;;;;;;;
Отель Вилла де Вилль (В направлении главного входа в отель);пр. М.Нагибина 55 (опора рядом с пешеходным переходом);1;стационарная;47.266057;39.721089;10;;;;;;;;;;;;
Парк-отель Высокий Берег (В направлении въезда в отель);ул. Левобережная, 27 (опора на въезде в парк-отель);1;стационарная;47.211466;39.748856;10;;;;;;;;;;;;
Гостиница Парк Сити (В направлении входа в гостиницу);ул. Закруткина 67в/2б (опора расположенная рядом со входом в отель);1;стационарная;47.227064;39.748366;10;;;;;;;;;;;;
Гостиница Атташе (В направлении входа в гостиницу);ул. Суворова, 19 (опора расположенная напротив входа в отель на пересечении ул. Соколова и ул. Суворова);2;стационарная;47.224112;39.720805;20;;;;;;;;;;;;
Гостиница Валенсия (В направлении входа в гостиницу и парковки);пр. Шолохова, 79/14 (бетонная опора справа при входе в отель);1;купольная;47.245709;39.770334;10;;;;;;;;;;;;
Гостиница Звезда (В направлении входа в гостиницу и пер. Соборного);пр. Соборный, 104 (опора расположенная рядом с парковкой, ориентир пр. Буденовский, 91);2;стационарная;47.240197;39.701858;20;;;;;;;;;;;;
Парк-отель Белладжио (В обоих направлениях по пр. 50 лет Ростсельмаша);пр. 50 лет Ростсельмаша, 7Вк1 (опора расположенная рядом со въездом на территорию отеля);2;стационарная;47.274371;39.763443;20;;;;;;;;;;;;
Парк-отель Жардин (В направлении въезда в отель);ул. Левобережная, 101 (справа от въезда в отель, около базы отдыха);1;стационарная;47.201509;39.790340;10;;;;;;;;;;;;
Гостиница Голубая Волна (В направлении въезда в гостиницу);ул. Левобережная, 17 (вторая опора слева при входе в гостиницу);1;стационарная;47.212178;39.743019;10;;;;;;;;;;;;
Парк имени М.Горького (В направлении памятника, слева);ул. Пушкинская, 52а (ориентир памятник Октябрьской революции);1;стационарная;47.223811;39.709377;10;;;;;;;;;;;;
Парк имени М.Горького (В направлении памятника, справа);ул. Пушкинская, 52 (ориентир памятник Октябрьской революции);1;стационарная;47.223725;39.709017;10;;;;;;;;;;;;
Парк имени М.Горького (В направлении аттракционов);ул. Пушкинская, 55а (на фасаде СПМ Парк Горького);1;стационарная;47.223860;39.711536;10;;;;;;;;;;;;
Парк имени М.Горького (В направлении входа и выхода из парка);пер. Семашко, 55 (на углу здания Пищевой академии);2;стационарная;47.222972;39.712351;20;;;;;;;;;;;;
